country_abbreviation,HTS,HTS_year
AFG,355,2018
ALB,429,2018
DZA,374,2018
AGO,326,2018
ARG,424,2018
ARM,443,2018
AUS,524,2018
AUT,525,2018
AZE,472,2018
BHR,452,2018
BGD,368,2018
BEL,519,2018
BEN,384,2018
BIH,461,2018
BWA,391,2018
BRA,408,2018
BGR,498,2018
BFA,404,2018
BDI,423,2018
KHM,452,2018
CMR,379,2018
CAN,537,2018
TCD,333,2018
CHL,466,2018
CHN,456,2018
COL,424,2018
COM,392,2018
COD,318,2018
COG,371,2018
CRI,430,2018
CIV,373,2018
HRV,505,2018
CYP,502,2018
CZE,522,2018
DNK,531,2018
DOM,350,2018
ECU,420,2018
EGY,356,2018
SLV,362,2018
EST,542,2018
ETH,359,2018
FIN,548,2018
FRA,506,2018
GAB,456,2018
GMB,338,2018
GEO,445,2018
DEU,528,2018
GHA,307,2018
GRC,474,2018
GTM,405,2018
GIN,408,2018
GUY,346,2018
HTI,345,2018
HND,400,2018
HKG,562,2018
HUN,516,2018
ISL,497,2018
IND,355,2018
IDN,403,2018
IRN,432,2018
IRQ,363,2018
IRL,538,2018
ISR,503,2018
ITA,514,2018
JAM,387,2018
JPN,563,2018
JOR,409,2018
KAZ,537,2018
KEN,455,2018
KIR,383,2018
KOR,563,2018
XKX,375,2018
KWT,383,2018
KGZ,420,2018
LAO,368,2018
LVA,530,2018
LBN,405,2018
LSO,393,2018
LBR,332,2018
LTU,514,2018
LUX,500,2018
MAC,545,2018
MKD,382,2018
MDG,351,2018
MWI,359,2018
MYS,468,2018
MLI,307,2018
MLT,474,2018
MRT,342,2018
MUS,473,2018
MEX,430,2018
MDA,436,2018
MNG,435,2018
MNE,433,2018
MAR,367,2018
MOZ,368,2018
MMR,425,2018
NAM,407,2018
NPL,369,2018
NLD,530,2018
NZL,517,2018
NIC,392,2018
NER,305,2018
NGA,325,2018
NOR,512,2018
OMN,424,2018
PAK,339,2018
PAN,396,2018
PNG,358,2018
PRY,386,2018
PER,407,2018
PHL,409,2018
POL,537,2018
PRT,520,2018
QAT,432,2018
ROU,452,2018
RUS,538,2018
RWA,358,2018
SAU,407,2018
SEN,412,2018
SRB,521,2018
SYC,463,2018
SLE,316,2018
SGP,581,2018
SVK,500,2018
SVN,532,2018
SLB,362,2018
ZAF,343,2018
SSD,336,2018
ESP,514,2018
LKA,400,2018
SDN,380,2018
SWZ,440,2018
SWE,525,2018
CHE,524,2018
TJK,444,2018
TZA,388,2018
THA,436,2018
TLS,371,2018
TGO,384,2018
TON,376,2018
TTO,458,2018
TUN,384,2018
TUR,459,2018
TUV,387,2018
UGA,397,2018
UKR,490,2018
ARE,451,2018
GBR,517,2018
USA,523,2018
URY,444,2018
VUT,356,2018
VNM,519,2018
PSE,412,2018
YEM,321,2018
ZMB,358,2018
ZWE,396,2018